uid,note,controller_id,build_tunnel,mac_address,ip_tunnel,ip_support,pcb_version,pcb_dipswitch_value,jacks_state,sensors_fault,phases_detected,frequency_detected,firmware_version,ip_public,ip_dhcp,datetime_reboot,datetime_online,datetime_tunnel,datetime_vglms_start,datetime_button_user,datetime_button_user_long,datetime_reset,datetime_reset_long,datetime_created,tunnel_ping_time,oem,calibration_version
4JL3Z5B6YE,Toronto Stock 20241203,,1,98f07b9dad3c,10.241.65.46,172.17.2.160,5,0,0,0,,,11214,209.20.60.12,192.168.111.227,2024-12-03 20:22:25,,,2024-12-03 20:38:10,2024-06-24 17:22:00,,2024-06-07 14:56:53,,2024-06-07 14:46:11,10,,1
4ONYBSB44B,Reliable 20240820,,0,3ce0641c35dc,,172.17.2.192,5,2,0,0,,,11198,184.71.162.178,192.168.1.242,2024-11-25 17:12:43,,,2024-11-25 17:33:55,,,2024-08-20 19:44:13,,2024-08-20 17:05:00,0,,1
4UH3Z5B6YE,Alex 20240820,,1,98f07b9d9e9c,10.241.65.106,172.17.2.128,5,2,0,0,,,11226,45.44.69.108,192.168.0.128,2024-11-21 03:42:49,,,2025-01-02 15:44:46,2024-10-04 00:43:38,2024-09-29 16:13:31,2024-09-29 18:31:53,,2024-07-12 13:10:20,79,,1
4WO5GSB44B,Reliable 20240820,,0,3ce0646ebadc,,172.17.2.192,5,2,0,0,,,11198,184.71.162.178,192.168.1.102,2024-11-25 17:36:30,,,2024-09-04 16:30:17,,,2024-08-20 19:43:59,,2024-08-20 17:05:43,0,,1
4ZEH7NB5AD,Vancouver 20241022,50,1,60e85bf3933c,10.241.64.190,172.17.2.160,5,2,0,0,,,11198,184.71.162.178,192.168.1.39,2024-11-27 17:12:36,,,2024-11-27 17:25:00,2024-12-14 13:43:29,2024-05-03 19:41:51,,,2023-11-30 18:49:33,72,,1
5KT5GSB44B,Reliable 20240820 PRO,,1,3ce0646ecd5d,10.241.65.146,172.17.2.193,5,0,0,0,,,11176,,192.168.1.111,2024-05-27 13:01:54,,,2024-09-04 19:04:16,,,2024-08-22 14:17:51,,2024-08-20 20:58:23,,,1
5O7TX5SRED,Dee Murphy,203,1,648cbb79fddd,10.241.65.98,172.17.2.193,5,2,3,,,,11226,129.222.195.197,192.168.1.236,2025-01-02 15:57:05,,,2025-01-02 16:04:59,2024-12-15 16:35:36,,,,2024-11-20 17:12:58,81,,1
5P2BPSTQUB,Vancouver 20241022,,0,3484e4f0e9fd,,172.17.2.225,5,2,0,,,,11198,184.71.162.178,192.168.1.247,2024-11-27 16:32:27,,,2024-11-26 23:11:50,,,,,2024-10-22 19:13:43,0,,1
5QI3Z5B6YE,Reliable 20240820,,0,98f07b9da21d,,172.17.2.129,5,2,0,0,,,11198,184.71.162.178,192.168.1.130,2024-11-25 17:02:24,,,2024-09-04 17:04:06,,2024-07-11 17:50:59,2024-08-22 14:47:39,,2024-06-08 14:29:04,0,,1
5TI3Z5B6YE,Vancouver 20241022,,0,98f07b9da27d,,172.17.2.225,5,2,0,,,,11198,184.71.162.178,192.168.1.226,2024-11-27 17:12:14,,,2024-11-27 17:26:00,2024-10-22 14:17:49,,2024-10-22 17:19:17,,2024-10-22 14:13:17,0,,1
5U25GSB44B,2236 Folkstone (R40) 20231130,20,1,3ce0646eea9d,10.241.64.138,172.17.2.129,5,0,7,0,,,11214,50.68.244.86,192.168.0.49,2024-11-22 21:03:33,,,2024-11-22 21:10:25,2024-06-11 22:46:02,2024-05-22 12:03:45,,,2023-11-30 20:36:37,73,,1
5VWDPSTQUB,Vancouver 20241022,,0,3484e4f1dabd,,172.17.2.161,5,2,0,,,,11198,184.71.162.178,192.168.1.180,2024-11-27 16:14:51,,,2024-11-27 16:23:10,,,,,2024-10-22 17:21:26,0,,1
5X6V7NB5AD,2990 Palmerston 20240418,4,1,60e85bfafafd,10.241.64.250,172.17.2.225,5,0,3,0,,,11226,50.68.232.53,192.168.4.12,2024-12-15 03:02:52,,,2024-12-31 17:47:37,2024-04-18 19:53:50,2024-04-18 20:04:00,,,2024-04-18 14:31:50,70,,1
6AQTGSB44B,Reliable 20240912,,0,3ce06469c01e,,172.17.2.130,5,2,0,0,,,11198,184.71.162.178,192.168.1.166,2024-11-26 23:39:32,,,2024-11-26 23:47:05,2024-10-21 01:59:30,2024-05-27 13:02:19,2024-09-12 17:45:55,,2024-04-04 16:10:35,0,,1
6UTINVAGMD,2238 Folkstone (R40) 20231130,21,1,6c302ad44e9e,10.241.64.126,172.17.2.130,5,0,7,0,,,11226,50.68.120.25,192.168.0.44,2024-12-18 20:33:47,,,2024-12-31 17:34:33,,2024-04-26 17:10:00,,,2023-11-30 21:47:08,68,,1
7GJW7NB5AD,Reliable 20240820,,0,60e85bfb24df,,172.17.2.195,5,2,0,0,,,11198,184.71.162.178,192.168.1.188,2024-11-25 17:04:01,,,2024-06-23 18:47:45,2024-08-20 16:10:32,2024-08-20 16:06:43,2024-08-22 14:53:49,,2023-11-27 20:28:27,0,,1
7W77GSB44B,Toronto Stock 20241203,,1,3ce0646ffedf,10.241.64.18,172.17.2.195,5,0,0,0,,,11214,209.20.60.12,192.168.111.182,2024-12-03 20:38:14,,,2024-10-28 18:27:46,2024-12-03 20:51:42,,,,2023-11-18 23:10:09,10,,1
7ZFCQNB5AD,475 13TH ST 20231130,17,1,60e85b01173f,10.241.64.130,172.17.2.163,5,0,7,0,,,11226,50.64.47.190,192.168.0.66,2024-12-03 02:51:41,,,2024-12-31 18:00:26,,2024-04-10 19:05:07,,,2023-11-30 21:22:41,71,,1
94TKT43KWM,USWA Duwamich 20240104,,1,0cb2b7c9aa7c,10.241.64.194,172.17.2.224,5,0,3,0,,,11224,73.109.47.236,"",2024-12-16 23:49:11,,,2024-12-17 00:02:35,2024-12-28 17:37:43,2024-04-20 03:19:46,,,2024-01-04 21:40:09,92,,1
95XHT43KWM,Breadboarded,,0,,10.241.65.30,,,0,,,,,0,,,,,,,,,,,2024-09-12 01:57:50,,,1
96OYT43KWM,1.01 -- RC6,,1,0cb2b7c9e1de,10.241.64.42,172.17.2.194,5,0,7,0,,,11184,206.231.127.122,192.168.1.142,2024-07-05 13:35:56,,,2024-09-21 16:32:45,,,,2024-05-31 15:02:35,2024-02-04 15:22:38,94,,1
96WLT43KWM,Gold image. 20231118,67,1,0cb2b7c9aede,10.241.64.162,172.17.2.194,5,2,0,0,,,11226,65.48.225.46,192.168.138.79,2024-12-16 21:40:29,,,2024-01-18 09:28:19,,,,,2023-11-18 23:10:09,87,,1
